epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.3246,1.56673,2.53131,0.92124,0,0,0,0,0,0,0,0.000275,0.000275,0.000275
2,16.5172,1.29338,0.98008,0.86386,0,0,0,0,0,0,0,0.000556931,0.000556931,0.000556931
3,25.2262,1.35959,0.85148,0.86575,0,0,0,0,0,0,0,0.00083317,0.00083317,0.00083317
4,33.9002,1.24449,0.79033,0.86416,0,0,0,0,0,0,0,0.00110372,0.00110372,0.00110372
5,42.5882,1.38036,0.90882,0.86206,0,0,0,0,0,0,0,0.0012005,0.0012005,0.0012005
6,51.2732,1.32108,0.86345,0.87413,0,0,0,0,0,0,0,0.00118812,0.00118812,0.00118812
7,59.9247,1.22824,0.76819,0.85837,0,0,0,0,0,0,0,0.00117575,0.00117575,0.00117575
8,68.5593,1.19427,0.73769,0.84764,0,0,0,0,0,0,0,0.00116337,0.00116337,0.00116337
9,77.2384,1.12912,0.67617,0.83841,0,0,0,0,0,0,0,0.001151,0.001151,0.001151
10,85.896,1.16769,0.66759,0.84047,0,0,0,0,0,0,0,0.00113863,0.00113863,0.00113863
11,95.4549,1.08555,0.61451,0.83557,0,0,0,0,0,0,0,0.00112625,0.00112625,0.00112625
12,104.183,1.05266,0.5893,0.83632,0,0,0,0,0,0,0,0.00111388,0.00111388,0.00111388
13,112.889,1.10447,0.5876,0.84371,0,0,0,0,0,0,0,0.0011015,0.0011015,0.0011015
14,121.602,1.09679,0.58811,0.83697,0,0,0,0,0,0,0,0.00108913,0.00108913,0.00108913
15,130.3,1.07955,0.60084,0.83477,0,0,0,0,0,0,0,0.00107675,0.00107675,0.00107675
16,139.014,1.10798,0.61193,0.83712,0,0,0,0,0,0,0,0.00106437,0.00106437,0.00106437
17,147.703,1.13812,0.62807,0.84088,0,0,0,0,0,0,0,0.001052,0.001052,0.001052
18,156.407,1.0897,0.61585,0.83299,0,0,0,0,0,0,0,0.00103962,0.00103962,0.00103962
19,166.393,1.01251,0.55006,0.82791,0,0,0,0,0,0,0,0.00102725,0.00102725,0.00102725
